lineup_type,lambda,selfish_agent,game_idx,seed,turn_order,agent,expected_production,final_vp,total_resources_in_hand,prod_gini_game
CONVEX,0.0,GREEDY,25,26,2,GREEDY,0.361111,10,6,0.126437
CONVEX,0.0,GREEDY,26,27,0,CONVEX,0.638889,10,23,0.154762
CONVEX,0.0,GREEDY,26,27,1,R,0.277778,2,4,0.154762
CONVEX,0.0,GREEDY,26,27,2,GREEDY,0.638889,4,8,0.154762
CONVEX,0.0,GREEDY,27,28,0,CONVEX,0.638889,2,11,0.163743
CONVEX,0.0,GREEDY,27,28,1,R,0.666667,2,18,0.163743
CONVEX,0.0,GREEDY,27,28,2,GREEDY,0.277778,10,3,0.163743
CONVEX,0.0,GREEDY,28,29,0,CONVEX,0.666667,2,5,0.230769
CONVEX,0.0,GREEDY,28,29,1,R,0.611111,4,7,0.230769
CONVEX,0.0,GREEDY,28,29,2,GREEDY,0.166667,10,3,0.230769
CONVEX,0.0,GREEDY,29,30,0,CONVEX,0.611111,6,11,0.064516
CONVEX,0.0,GREEDY,29,30,1,R,0.472222,8,4,0.064516
CONVEX,0.0,GREEDY,29,30,2,GREEDY,0.638889,10,4,0.064516
CONVEX,0.0,GREEDY,30,31,0,CONVEX,0.666667,2,10,0.092308
CONVEX,0.0,GREEDY,30,31,1,R,0.444444,10,3,0.092308
CONVEX,0.0,GREEDY,30,31,2,GREEDY,0.694444,5,23,0.092308
CONVEX,0.0,GREEDY,31,32,0,CONVEX,0.583333,3,10,0.075269
CONVEX,0.0,GREEDY,31,32,1,R,0.666667,2,9,0.075269
CONVEX,0.0,GREEDY,31,32,2,GREEDY,0.472222,10,2,0.075269
CONVEX,0.0,GREEDY,32,33,0,CONVEX,0.638889,4,11,0.157576
CONVEX,0.0,GREEDY,32,33,1,R,0.611111,6,8,0.157576
CONVEX,0.0,GREEDY,32,33,2,GREEDY,0.277778,10,5,0.157576
CONVEX,0.0,GREEDY,33,34,0,CONVEX,0.611111,5,10,0.031746
CONVEX,0.0,GREEDY,33,34,1,R,0.527778,11,7,0.031746
CONVEX,0.0,GREEDY,33,34,2,GREEDY,0.611111,4,20,0.031746
CONVEX,0.0,GREEDY,34,35,0,CONVEX,0.638889,4,7,0.126437
CONVEX,0.0,GREEDY,34,35,1,R,0.333333,10,6,0.126437
CONVEX,0.0,GREEDY,34,35,2,GREEDY,0.638889,4,9,0.126437
CONVEX,0.0,GREEDY,35,36,0,CONVEX,0.416667,10,2,0.08046
CONVEX,0.0,GREEDY,35,36,1,R,0.583333,4,5,0.08046
CONVEX,0.0,GREEDY,35,36,2,GREEDY,0.611111,2,6,0.08046
CONVEX,0.0,GREEDY,36,37,0,CONVEX,0.694444,4,16,0.16129
CONVEX,0.0,GREEDY,36,37,1,R,0.722222,10,2,0.16129
CONVEX,0.0,GREEDY,36,37,2,GREEDY,0.305556,5,1,0.16129
CONVEX,0.0,GREEDY,37,38,0,CONVEX,0.722222,4,6,0.301887
CONVEX,0.0,GREEDY,37,38,1,R,0.055556,6,7,0.301887
CONVEX,0.0,GREEDY,37,38,2,GREEDY,0.694444,4,5,0.301887
CONVEX,0.0,GREEDY,38,39,0,CONVEX,0.611111,4,10,0.248366
CONVEX,0.0,GREEDY,38,39,1,R,0.138889,9,7,0.248366
CONVEX,0.0,GREEDY,38,39,2,GREEDY,0.666667,7,13,0.248366
CONVEX,0.0,GREEDY,39,40,0,CONVEX,0.305556,10,3,0.133333
CONVEX,0.0,GREEDY,39,40,1,R,0.611111,2,9,0.133333
CONVEX,0.0,GREEDY,39,40,2,GREEDY,0.611111,2,8,0.133333
CONVEX,0.0,GREEDY,40,41,0,CONVEX,0.527778,10,1,0.060606
CONVEX,0.0,GREEDY,40,41,1,R,0.694444,4,10,0.060606
CONVEX,0.0,GREEDY,40,41,2,GREEDY,0.611111,2,8,0.060606
CONVEX,0.0,GREEDY,41,42,0,CONVEX,0.694444,6,22,0.16092
CONVEX,0.0,GREEDY,41,42,1,R,0.611111,3,10,0.16092
CONVEX,0.0,GREEDY,41,42,2,GREEDY,0.305556,10,3,0.16092
CONVEX,0.0,GREEDY,42,43,0,CONVEX,0.722222,4,14,0.271605
CONVEX,0.0,GREEDY,42,43,1,R,0.111111,3,3,0.271605
CONVEX,0.0,GREEDY,42,43,2,GREEDY,0.666667,10,15,0.271605
CONVEX,0.0,GREEDY,43,44,0,CONVEX,0.416667,10,4,0.095238
CONVEX,0.0,GREEDY,43,44,1,R,0.666667,5,13,0.095238
CONVEX,0.0,GREEDY,43,44,2,GREEDY,0.666667,4,14,0.095238
CONVEX,0.0,GREEDY,44,45,0,CONVEX,0.333333,3,6,0.144444
CONVEX,0.0,GREEDY,44,45,1,R,0.694444,3,26,0.144444
CONVEX,0.0,GREEDY,44,45,2,GREEDY,0.638889,10,24,0.144444
CONVEX,0.0,GREEDY,45,46,0,CONVEX,0.583333,2,17,0.10582
CONVEX,0.0,GREEDY,45,46,1,R,0.444444,10,8,0.10582
CONVEX,0.0,GREEDY,45,46,2,GREEDY,0.722222,5,35,0.10582
CONVEX,0.0,GREEDY,46,47,0,CONVEX,0.194444,10,3,0.234568
CONVEX,0.0,GREEDY,46,47,1,R,0.583333,6,10,0.234568
CONVEX,0.0,GREEDY,46,47,2,GREEDY,0.722222,2,7,0.234568
CONVEX,0.0,GREEDY,47,48,0,CONVEX,0.638889,2,22,0.126437
CONVEX,0.0,GREEDY,47,48,1,R,0.333333,10,4,0.126437
CONVEX,0.0,GREEDY,47,48,2,GREEDY,0.638889,4,19,0.126437
CONVEX,0.0,GREEDY,48,49,0,CONVEX,0.611111,2,10,0.120219
CONVEX,0.0,GREEDY,48,49,1,R,0.388889,3,7,0.120219
CONVEX,0.0,GREEDY,48,49,2,GREEDY,0.694444,10,17,0.120219
CONVEX,0.0,GREEDY,49,50,0,CONVEX,0.472222,10,2,0.075269
CONVEX,0.0,GREEDY,49,50,1,R,0.666667,4,29,0.075269
CONVEX,0.0,GREEDY,49,50,2,GREEDY,0.583333,2,15,0.075269
CONVEX,0.0,GREEDY,50,51,0,CONVEX,0.694444,4,12,0.196721
CONVEX,0.0,GREEDY,50,51,1,R,0.75,2,5,0.196721
CONVEX,0.0,GREEDY,50,51,2,GREEDY,0.25,10,2,0.196721
CONVEX,0.0,GREEDY,51,52,0,CONVEX,0.222222,2,4,0.235294
CONVEX,0.0,GREEDY,51,52,1,R,0.472222,10,17,0.235294
CONVEX,0.0,GREEDY,51,52,2,GREEDY,0.722222,2,13,0.235294
CONVEX,0.0,GREEDY,52,53,0,CONVEX,0.666667,10,11,0.175439
CONVEX,0.0,GREEDY,52,53,1,R,0.666667,8,20,0.175439
CONVEX,0.0,GREEDY,52,53,2,GREEDY,0.25,2,7,0.175439
CONVEX,0.0,GREEDY,53,54,0,CONVEX,0.694444,6,15,0.129032
CONVEX,0.0,GREEDY,53,54,1,R,0.361111,10,1,0.129032
CONVEX,0.0,GREEDY,53,54,2,GREEDY,0.666667,4,12,0.129032
CONVEX,0.0,GREEDY,54,55,0,CONVEX,0.638889,2,14,0.148148
