lineup_type,lambda,selfish_agent,game_idx,seed,prod_gini,prod_min,prod_max,prod_range,winner_agent,num_turns
CONVEX,0.0,GREEDY,67,68,0.234568,0.166667,0.694444,0.527778,R,449
CONVEX,0.0,GREEDY,68,69,0.175439,0.25,0.666667,0.416667,CONVEX,88
CONVEX,0.0,GREEDY,69,70,0.158192,0.305556,0.694444,0.388889,GREEDY,195
CONVEX,0.0,GREEDY,70,71,0.195402,0.277778,0.75,0.472222,CONVEX,388
CONVEX,0.0,GREEDY,71,72,0.128655,0.333333,0.638889,0.305556,CONVEX,328
CONVEX,0.0,GREEDY,72,73,0.131148,0.444444,0.777778,0.333333,GREEDY,126
CONVEX,0.0,GREEDY,73,74,0.11828,0.388889,0.694444,0.305556,GREEDY,288
CONVEX,0.0,GREEDY,74,75,0.116402,0.388889,0.694444,0.305556,GREEDY,153
CONVEX,0.0,GREEDY,75,76,0.175439,0.277778,0.694444,0.416667,R,119
CONVEX,0.0,GREEDY,76,77,0.1,0.388889,0.638889,0.25,CONVEX,346
CONVEX,0.0,GREEDY,77,78,0.209877,0.25,0.722222,0.472222,NONE,1000
CONVEX,0.0,GREEDY,78,79,0.129353,0.416667,0.777778,0.361111,GREEDY,162
CONVEX,0.0,GREEDY,79,80,0.116402,0.388889,0.694444,0.305556,R,206
CONVEX,0.0,GREEDY,80,81,0.163743,0.277778,0.666667,0.388889,GREEDY,393
CONVEX,0.0,GREEDY,81,82,0.133333,0.361111,0.694444,0.333333,R,413
CONVEX,0.0,GREEDY,82,83,0.163522,0.25,0.611111,0.361111,CONVEX,475
CONVEX,0.0,GREEDY,83,84,0.112994,0.361111,0.638889,0.277778,R,332
CONVEX,0.0,GREEDY,84,85,0.202381,0.25,0.722222,0.472222,CONVEX,274
CONVEX,0.0,GREEDY,85,86,0.230769,0.166667,0.666667,0.5,CONVEX,190
CONVEX,0.0,GREEDY,86,87,0.125,0.444444,0.777778,0.333333,GREEDY,261
CONVEX,0.0,GREEDY,87,88,0.217949,0.166667,0.638889,0.472222,R,257
CONVEX,0.0,GREEDY,88,89,0.174863,0.277778,0.722222,0.444444,CONVEX,199
CONVEX,0.0,GREEDY,89,90,0.275862,0.138889,0.805556,0.666667,GREEDY,708
CONVEX,0.0,GREEDY,90,91,0.22619,0.166667,0.694444,0.527778,GREEDY,981
CONVEX,0.0,GREEDY,91,92,0.063492,0.472222,0.638889,0.166667,GREEDY,111
CONVEX,0.0,GREEDY,92,93,0.076503,0.444444,0.638889,0.194444,GREEDY,126
CONVEX,0.0,GREEDY,93,94,0.154762,0.305556,0.666667,0.361111,CONVEX,154
CONVEX,0.0,GREEDY,94,95,0.057471,0.444444,0.583333,0.138889,CONVEX,184
CONVEX,0.0,GREEDY,95,96,0.061538,0.527778,0.694444,0.166667,GREEDY,150
CONVEX,0.0,GREEDY,96,97,0.128655,0.333333,0.638889,0.305556,R,557
CONVEX,0.0,GREEDY,97,98,0.190476,0.277778,0.722222,0.444444,CONVEX,778
CONVEX,0.0,GREEDY,98,99,0.05291,0.5,0.638889,0.138889,CONVEX,277
CONVEX,0.0,GREEDY,99,100,0.149425,0.305556,0.666667,0.361111,R,371
CONVEX,0.0,AB,0,1,0.137931,0.388889,0.722222,0.333333,R,59
