method,lambda,n,gini_mean,gini_ci_low,gini_ci_high,max_min_ratio_mean,max_min_ratio_ci_low,max_min_ratio_ci_high,total_expected_production_mean,total_expected_production_ci_low,total_expected_production_ci_high,mean_entropy_mean,mean_entropy_ci_low,mean_entropy_ci_high
GREEDY,0.0,500,0.06007925292011953,0.05849500959303574,0.061591672738960185,1.3153555019747307,1.3061080392292828,1.3241315954074229,1.8652777777777776,1.8578888888888887,1.8723333333333334,1.214291708590864,1.2038459199107694,1.2243864823041581
GREEDY,0.08333333333333333,500,0.06007925292011953,0.05854263983838448,0.06169273386093074,1.3153555019747307,1.305895385743577,1.3249889854176535,1.8652777777777776,1.857888888888889,1.8725,1.214291708590864,1.2038019474014179,1.2249540513668282
GREEDY,0.16666666666666666,500,0.06007925292011953,0.058579851582219594,0.0616399247393769,1.3153555019747307,1.3061453884619514,1.3248891882135974,1.8652777777777776,1.8577194444444445,1.873388888888889,1.214291708590864,1.2031462246694657,1.2250103893054112
GREEDY,0.25,500,0.06007925292011953,0.05846128268580585,0.061574185142120506,1.3153555019747307,1.306156834182255,1.324637313111258,1.8652777777777776,1.8579416666666666,1.8727777777777779,1.214291708590864,1.2040133851437693,1.224217618343133
GREEDY,0.3333333333333333,500,0.06007925292011953,0.058557452446277296,0.061605047502288526,1.3153555019747307,1.306562766344871,1.324398523982785,1.8652777777777776,1.858111111111111,1.8724458333333334,1.214291708590864,1.2040611400593453,1.2248067689937525
GREEDY,0.41666666666666663,500,0.06007925292011953,0.05855780765282135,0.06170518257920169,1.3153555019747307,1.3062000514519656,1.3244993673631298,1.8652777777777776,1.857222222222222,1.8726666666666665,1.214291708590864,1.2036067092614637,1.2245635393832057
GREEDY,0.5,500,0.06007925292011953,0.05852866860344155,0.06163406070312125,1.3153555019747307,1.306018011415231,1.324729551439777,1.8652777777777776,1.8581097222222223,1.872945833333333,1.214291708590864,1.2046987257934505,1.2246947456209025
GREEDY,0.5833333333333333,500,0.06007925292011953,0.058482479510488995,0.06165046650382089,1.3153555019747307,1.3062244825429652,1.3246578945566856,1.8652777777777776,1.8581652777777777,1.8726694444444443,1.214291708590864,1.203467656272405,1.2247320194193632
GREEDY,0.6666666666666666,500,0.06007925292011953,0.05855413318692458,0.061552571507258604,1.3153555019747307,1.3067099446659254,1.325525487973256,1.8652777777777776,1.8577208333333335,1.872277777777778,1.214291708590864,1.203547692854043,1.2250120788383247
GREEDY,0.75,500,0.06007925292011953,0.058562679536550644,0.061661000419236486,1.3153555019747307,1.3063400852641174,1.324153965557931,1.8652777777777776,1.8580541666666666,1.872611111111111,1.214291708590864,1.2036349376648825,1.2248316636342906
GREEDY,0.8333333333333333,500,0.06007925292011953,0.058513320924106944,0.06164898468176377,1.3153555019747307,1.3062677280373,1.325283207222699,1.8652777777777776,1.858,1.8730569444444445,1.214291708590864,1.2042092095336878,1.224828390207481
GREEDY,0.9166666666666666,500,0.06007925292011953,0.05848000480474852,0.06172734610300938,1.3153555019747307,1.3059744473735684,1.324913912418029,1.8652777777777776,1.858111111111111,1.8727777777777779,1.214291708590864,1.2033068853699613,1.2246695980231856
GREEDY,1.0,500,0.06007925292011953,0.05853505007768399,0.061738599795125006,1.3153555019747307,1.3059973239536782,1.3247450510909238,1.8652777777777776,1.857888888888889,1.872725,1.214291708590864,1.2036201693241924,1.2245935009138074
GREEDY,1.0833333333333333,500,0.06007925292011953,0.05851715892266805,0.06169973215615833,1.3153555019747307,1.3062823471637806,1.324788055510638,1.8652777777777776,1.8579444444444444,1.8722222222222222,1.214291708590864,1.2040205315810746,1.2241728869932178
GREEDY,1.1666666666666665,500,0.06007925292011953,0.058544994344306205,0.06163998845624055,1.3153555019747307,1.3060638442287325,1.3249474991669574,1.8652777777777776,1.8578888888888887,1.872611111111111,1.214291708590864,1.2034778862420499,1.2246821274007726
GREEDY,1.25,500,0.06007925292011953,0.05855238334946138,0.06165018631562185,1.3153555019747307,1.305898506953853,1.3246208993770172,1.8652777777777776,1.8576652777777778,1.8725,1.214291708590864,1.203278570473765,1.224989945322695
GREEDY,1.3333333333333333,500,0.06007925292011953,0.05861186970359261,0.0616418432321128,1.3153555019747307,1.3060352463401974,1.3243689957103775,1.8652777777777776,1.8580541666666668,1.8730569444444443,1.214291708590864,1.2040777826185367,1.2247473338936006
GREEDY,1.4166666666666665,500,0.06007925292011953,0.058495234475466944,0.0616396170308082,1.3153555019747307,1.3059107196799737,1.324658417943108,1.8652777777777776,1.8580555555555556,1.8723902777777774,1.214291708590864,1.2037135474519869,1.225109963824419
GREEDY,1.5,500,0.06007925292011953,0.058563363335320064,0.06162062197192109,1.3153555019747307,1.3056185875358395,1.3244426798456364,1.8652777777777776,1.8578888888888887,1.8725555555555558,1.214291708590864,1.203367903213927,1.224872064275884
GREEDY,1.5833333333333333,500,0.06007925292011953,0.058490444834646035,0.06170644885231239,1.3153555019747307,1.306145911742514,1.3245482387802219,1.8652777777777776,1.8577777777777778,1.8725555555555555,1.214291708590864,1.204156589263716,1.2251413989273796
GREEDY,1.6666666666666665,500,0.06007925292011953,0.058560687176896976,0.061693828615273345,1.3153555019747307,1.3062626284361607,1.3250232417566916,1.8652777777777776,1.8581069444444445,1.8724999999999998,1.214291708590864,1.2037010279118525,1.2245313247494005
GREEDY,1.75,500,0.06007925292011953,0.0584936607849428,0.061664020958325766,1.3153555019747307,1.3060677572615276,1.324637928849336,1.8652777777777776,1.8578875,1.872725,1.214291708590864,1.2041752655326379,1.2247506376381498
GREEDY,1.8333333333333333,500,0.06007925292011953,0.05851397233113088,0.06166473842074937,1.3153555019747307,1.3058342520903028,1.325044925091734,1.8652777777777776,1.8579430555555556,1.8731111111111112,1.214291708590864,1.2042913061866334,1.2244377413180874
GREEDY,1.9166666666666665,500,0.06007925292011953,0.05850892934526581,0.06175099793384433,1.3153555019747307,1.3064094494703784,1.3249912131681603,1.8652777777777776,1.857388888888889,1.8725013888888888,1.214291708590864,1.203975518319617,1.2246925835116287
