seed,method,lambda,gini,max_min_ratio,total_expected_production,mean_entropy,weakest_production,strongest_production,production_gap
1,LP,0.0,2.142350709811407e-10,1.0000000009640577,1.8611695540731361,1.5995350836868643,0.6203898511042748,0.6203898517023665,5.980916872871944e-10
1,LP,0.2222222222222222,1.2082211454852484e-10,1.0000000005436995,1.8611552784063568,1.602098213629402,0.6203850926420862,0.6203850929793893,3.373030743603067e-10
1,LP,0.4444444444444444,6.111682929055344e-11,1.0000000002750258,1.8611454355438133,1.6020985951683808,0.6203818117798996,0.6203818119505206,1.7062096180353592e-10
1,LP,0.6666666666666666,1.8781495599690799e-10,1.0000000008451673,1.8611641314532394,1.602098890841009,0.6203880436377938,0.6203880441621255,5.243316891778704e-10
1,LP,0.8888888888888888,6.646835472484972e-11,1.0000000002991076,1.8611631264631916,1.6020990089430243,0.6203877087494402,0.6203877089350028,1.8556267633584866e-10
1,LP,1.1111111111111112,3.0734955887679133e-11,1.0000000001383074,1.8611629460439918,1.6020990518398974,0.6203876486424863,0.6203876487282904,8.580414156966754e-11
1,LP,1.3333333333333333,5.4856698589219044e-11,1.0000000002468552,1.8611609553322777,1.6020990486700175,0.6203869850167395,0.6203869851698852,1.5314571832902857e-10
1,LP,1.5555555555555554,3.3536779038070665e-10,1.000000001509155,1.8611733636898418,1.602099608198401,0.6203911207723323,0.6203911217085987,9.362663977441343e-10
1,LP,1.7777777777777777,1.9101043841656842e-10,1.0000000008595469,1.861168003491376,1.602099645218914,0.6203893342496114,0.6203893347828652,5.332537744706656e-10
1,LP,2.0,1.559665811746043e-10,1.0000000007018497,1.8611628586831666,1.6020996771592024,0.6203876193740736,0.6203876198094924,4.3541881211695e-10
1,RANDOM,0.0,0.3252032520325204,6.000000000000001,1.1388888888888888,0.9324606662652619,0.1111111111111111,0.6666666666666667,0.5555555555555556
1,WEIGHTED_RANDOM,0.0,0.08000000000000003,1.4285714285714288,1.3888888888888888,0.9748450196997377,0.38888888888888884,0.5555555555555556,0.16666666666666674
1,GREEDY,0.0,0.07960199004975127,1.4444444444444446,1.8611111111111112,1.3774970318507724,0.49999999999999994,0.7222222222222222,0.22222222222222227
1,RANDOM,0.2222222222222222,0.3252032520325204,6.000000000000001,1.1388888888888888,0.9324606662652619,0.1111111111111111,0.6666666666666667,0.5555555555555556
1,WEIGHTED_RANDOM,0.2222222222222222,0.08000000000000003,1.4285714285714288,1.3888888888888888,0.9748450196997377,0.38888888888888884,0.5555555555555556,0.16666666666666674
1,GREEDY,0.2222222222222222,0.07960199004975127,1.4444444444444446,1.8611111111111112,1.3774970318507724,0.49999999999999994,0.7222222222222222,0.22222222222222227
1,RANDOM,0.4444444444444444,0.3252032520325204,6.000000000000001,1.1388888888888888,0.9324606662652619,0.1111111111111111,0.6666666666666667,0.5555555555555556
1,WEIGHTED_RANDOM,0.4444444444444444,0.08000000000000003,1.4285714285714288,1.3888888888888888,0.9748450196997377,0.38888888888888884,0.5555555555555556,0.16666666666666674
1,GREEDY,0.4444444444444444,0.07960199004975127,1.4444444444444446,1.8611111111111112,1.3774970318507724,0.49999999999999994,0.7222222222222222,0.22222222222222227
1,RANDOM,0.6666666666666666,0.3252032520325204,6.000000000000001,1.1388888888888888,0.9324606662652619,0.1111111111111111,0.6666666666666667,0.5555555555555556
1,WEIGHTED_RANDOM,0.6666666666666666,0.08000000000000003,1.4285714285714288,1.3888888888888888,0.9748450196997377,0.38888888888888884,0.5555555555555556,0.16666666666666674
1,GREEDY,0.6666666666666666,0.07960199004975127,1.4444444444444446,1.8611111111111112,1.3774970318507724,0.49999999999999994,0.7222222222222222,0.22222222222222227
1,RANDOM,0.8888888888888888,0.3252032520325204,6.000000000000001,1.1388888888888888,0.9324606662652619,0.1111111111111111,0.6666666666666667,0.5555555555555556
1,WEIGHTED_RANDOM,0.8888888888888888,0.08000000000000003,1.4285714285714288,1.3888888888888888,0.9748450196997377,0.38888888888888884,0.5555555555555556,0.16666666666666674
1,GREEDY,0.8888888888888888,0.07960199004975127,1.4444444444444446,1.8611111111111112,1.3774970318507724,0.49999999999999994,0.7222222222222222,0.22222222222222227
1,RANDOM,1.1111111111111112,0.3252032520325204,6.000000000000001,1.1388888888888888,0.9324606662652619,0.1111111111111111,0.6666666666666667,0.5555555555555556
1,WEIGHTED_RANDOM,1.1111111111111112,0.08000000000000003,1.4285714285714288,1.3888888888888888,0.9748450196997377,0.38888888888888884,0.5555555555555556,0.16666666666666674
1,GREEDY,1.1111111111111112,0.07960199004975127,1.4444444444444446,1.8611111111111112,1.3774970318507724,0.49999999999999994,0.7222222222222222,0.22222222222222227
1,RANDOM,1.3333333333333333,0.3252032520325204,6.000000000000001,1.1388888888888888,0.9324606662652619,0.1111111111111111,0.6666666666666667,0.5555555555555556
1,WEIGHTED_RANDOM,1.3333333333333333,0.08000000000000003,1.4285714285714288,1.3888888888888888,0.9748450196997377,0.38888888888888884,0.5555555555555556,0.16666666666666674
1,GREEDY,1.3333333333333333,0.07960199004975127,1.4444444444444446,1.8611111111111112,1.3774970318507724,0.49999999999999994,0.7222222222222222,0.22222222222222227
