seed,method,lambda,node_id,capacity_dual
1,LP,0.0,0,0.0
1,LP,0.0,1,0.0002211314213973469
1,LP,0.0,2,0.0
1,LP,0.0,3,0.0
1,LP,0.0,4,0.0
1,LP,0.0,5,0.0
1,LP,0.0,6,0.0
1,LP,0.0,7,0.0
1,LP,0.0,8,0.005756635147544671
1,LP,0.0,9,0.0
1,LP,0.0,10,0.00254208284840415
1,LP,0.0,11,0.0
1,LP,0.0,12,0.0
1,LP,0.0,13,0.0
1,LP,0.0,14,0.0
1,LP,0.0,15,0.0
1,LP,0.0,16,0.0006940309342159286
1,LP,0.0,17,0.0
1,LP,0.0,18,0.0
1,LP,0.0,19,0.0
1,LP,0.0,20,0.000460382249366786
1,LP,0.0,21,0.0
1,LP,0.0,22,0.0
1,LP,0.0,23,0.0
1,LP,0.0,24,0.0
1,LP,0.0,25,0.0
1,LP,0.0,26,0.0
1,LP,0.0,27,0.0
1,LP,0.0,28,0.0
1,LP,0.0,29,0.0
1,LP,0.0,30,0.0
1,LP,0.0,31,0.0
1,LP,0.0,32,0.0
1,LP,0.0,33,0.0
1,LP,0.0,34,0.0
1,LP,0.0,35,0.0
1,LP,0.0,36,0.0
1,LP,0.0,37,0.0
1,LP,0.0,38,0.0
1,LP,0.0,39,0.0
1,LP,0.0,40,0.0
1,LP,0.0,41,0.0
1,LP,0.0,42,0.0
1,LP,0.0,43,0.0
1,LP,0.0,44,0.0
1,LP,0.0,45,0.0
1,LP,0.0,46,0.0
1,LP,0.0,47,0.0
1,LP,0.0,48,0.0
1,LP,0.0,49,0.0
1,LP,0.0,50,0.0
1,LP,0.0,51,0.0
1,LP,0.0,52,0.0
1,LP,0.0,53,0.0
1,LP,0.2222222222222222,0,0.0
1,LP,0.2222222222222222,1,0.002699969984549107
1,LP,0.2222222222222222,2,0.0
1,LP,0.2222222222222222,3,0.0
1,LP,0.2222222222222222,4,0.0
1,LP,0.2222222222222222,5,0.0
1,LP,0.2222222222222222,6,0.0
1,LP,0.2222222222222222,7,0.0
1,LP,0.2222222222222222,8,0.0051818175432964
1,LP,0.2222222222222222,9,0.0
1,LP,0.2222222222222222,10,0.0066136813297647135
1,LP,0.2222222222222222,11,0.0
1,LP,0.2222222222222222,12,0.0
1,LP,0.2222222222222222,13,0.0
1,LP,0.2222222222222222,14,0.0
1,LP,0.2222222222222222,15,0.0
1,LP,0.2222222222222222,16,0.00022942769906327315
1,LP,0.2222222222222222,17,0.0
1,LP,0.2222222222222222,18,0.0
1,LP,0.2222222222222222,19,0.0
1,LP,0.2222222222222222,20,0.0007048266169319814
1,LP,0.2222222222222222,21,0.0
1,LP,0.2222222222222222,22,0.0
1,LP,0.2222222222222222,23,0.0
1,LP,0.2222222222222222,24,0.0
1,LP,0.2222222222222222,25,0.0
1,LP,0.2222222222222222,26,0.0
1,LP,0.2222222222222222,27,0.0
1,LP,0.2222222222222222,28,0.0
1,LP,0.2222222222222222,29,0.0
1,LP,0.2222222222222222,30,0.0
1,LP,0.2222222222222222,31,0.0
1,LP,0.2222222222222222,32,0.0
1,LP,0.2222222222222222,33,0.0
1,LP,0.2222222222222222,34,0.0
1,LP,0.2222222222222222,35,0.0
1,LP,0.2222222222222222,36,0.0
1,LP,0.2222222222222222,37,0.0
1,LP,0.2222222222222222,38,0.0
1,LP,0.2222222222222222,39,0.0
1,LP,0.2222222222222222,40,0.0
1,LP,0.2222222222222222,41,0.0
1,LP,0.2222222222222222,42,0.0
1,LP,0.2222222222222222,43,0.0
1,LP,0.2222222222222222,44,0.0
