lineup_id,lineup,game_in_lineup,global_game_id,seed,has_winner,winner_color,winner_agent,num_turns,game_duration_s,vp_std,vp_min,vp_max,vp_range,vp_gini,prod_gini_final,prod_max_min_ratio,turns_until_equalized
0,"R,R,R",45,46,46,1,RED,R,385,0.014704,2.160247,5,10,5,0.15873,0.206897,3.454545,-1
0,"R,R,R",46,47,47,1,ORANGE,R,366,0.015926,3.091206,3,10,7,0.212121,0.329218,6.714286,-1
0,"R,R,R",47,48,48,1,BLUE,R,308,0.012963,2.867442,3,10,7,0.245614,0.152381,1.888889,-1
0,"R,R,R",48,49,49,1,RED,R,532,0.01508,3.559026,2,10,8,0.355556,0.42963,8.25,-1
0,"R,R,R",49,50,50,1,ORANGE,R,413,0.012994,2.624669,4,10,6,0.210526,0.283105,3.384615,-1
1,"GREEDY,R,R",0,51,1,1,RED,GREEDY,121,0.006737,2.94392,3,10,7,0.259259,0.411458,6.266667,-1
1,"GREEDY,R,R",1,52,2,1,BLUE,R,477,0.020837,2.44949,4,10,6,0.190476,0.068376,1.380952,-1
1,"GREEDY,R,R",2,53,3,1,BLUE,R,555,0.016572,3.091206,3,10,7,0.27451,0.367521,5.777778,-1
1,"GREEDY,R,R",3,54,4,1,RED,GREEDY,157,0.006938,3.399346,2,10,8,0.333333,0.462462,9.555556,-1
1,"GREEDY,R,R",4,55,5,1,BLUE,R,401,0.014172,2.828427,4,10,6,0.222222,0.325333,13.2,-1
1,"GREEDY,R,R",5,56,6,1,RED,GREEDY,122,0.005783,3.771236,2,10,8,0.380952,0.474359,11.571429,-1
1,"GREEDY,R,R",6,57,7,1,RED,GREEDY,125,0.005701,3.771236,2,10,8,0.380952,0.506667,16.2,-1
1,"GREEDY,R,R",7,58,8,1,ORANGE,R,933,0.030659,3.559026,2,10,8,0.355556,0.235294,3.571429,-1
1,"GREEDY,R,R",8,59,9,1,BLUE,R,313,0.013606,2.494438,4,10,6,0.181818,0.174757,2.588235,-1
1,"GREEDY,R,R",9,60,10,1,RED,GREEDY,122,0.006978,3.559026,2,10,8,0.355556,0.45614,7.5,-1
1,"GREEDY,R,R",10,61,11,1,BLUE,R,355,0.019547,2.828427,4,10,6,0.222222,0.276423,3.833333,-1
1,"GREEDY,R,R",11,62,12,1,RED,GREEDY,189,0.008973,3.299832,2,10,8,0.280702,0.439815,20.0,-1
1,"GREEDY,R,R",12,63,13,1,ORANGE,R,284,0.011907,3.559026,2,10,8,0.355556,0.060606,1.315789,-1
1,"GREEDY,R,R",13,64,14,1,RED,GREEDY,166,0.008049,3.771236,2,10,8,0.380952,0.517799,12.428571,-1
1,"GREEDY,R,R",14,65,15,1,BLUE,R,396,0.018493,2.624669,4,10,6,0.210526,0.200803,2.470588,-1
1,"GREEDY,R,R",15,66,16,1,RED,GREEDY,240,0.013956,3.399346,2,10,8,0.266667,0.471178,24.5,-1
1,"GREEDY,R,R",16,67,17,1,RED,GREEDY,135,0.008057,3.399346,2,10,8,0.333333,0.421652,6.285714,-1
1,"GREEDY,R,R",17,68,18,1,ORANGE,R,230,0.01227,2.160247,5,10,5,0.15873,0.159204,1.941176,-1
1,"GREEDY,R,R",18,69,19,1,RED,GREEDY,203,0.01237,1.885618,6,10,4,0.121212,0.380952,5.0,-1
1,"GREEDY,R,R",19,70,20,1,RED,GREEDY,59,0.003758,3.771236,2,10,8,0.380952,0.454277,8.0,-1
1,"GREEDY,R,R",20,71,21,1,ORANGE,R,294,0.01694,2.160247,5,10,5,0.15873,0.291262,4.214286,-1
1,"GREEDY,R,R",21,72,22,1,ORANGE,R,473,0.017354,2.624669,4,10,6,0.210526,0.244444,3.2,-1
1,"GREEDY,R,R",22,73,23,1,BLUE,R,109,0.005346,3.399346,2,10,8,0.333333,0.186667,2.647059,-1
1,"GREEDY,R,R",23,74,24,1,BLUE,R,833,0.025376,2.624669,4,10,6,0.210526,0.4,9.0,-1
1,"GREEDY,R,R",24,75,25,1,ORANGE,R,207,0.007027,4.027682,2,11,9,0.375,0.253521,4.0,-1
1,"GREEDY,R,R",25,76,26,1,BLUE,R,297,0.011467,3.091206,3,10,7,0.27451,0.216867,3.7,-1
1,"GREEDY,R,R",26,77,27,1,BLUE,R,353,0.010099,3.399346,2,10,8,0.333333,0.410959,10.0,-1
1,"GREEDY,R,R",27,78,28,1,BLUE,R,315,0.011867,3.771236,2,10,8,0.380952,0.342593,8.4,-1
1,"GREEDY,R,R",28,79,29,1,RED,GREEDY,299,0.012995,2.160247,5,10,5,0.15873,0.365915,4.842105,-1
1,"GREEDY,R,R",29,80,30,1,BLUE,R,338,0.017709,3.091206,4,11,7,0.233333,0.269504,3.923077,-1
1,"GREEDY,R,R",30,81,31,1,ORANGE,R,273,0.014113,3.265986,3,11,8,0.253968,0.335697,7.454545,-1
1,"GREEDY,R,R",31,82,32,1,ORANGE,R,203,0.010096,3.681787,2,11,9,0.3,0.105611,1.64,-1
1,"GREEDY,R,R",32,83,33,1,BLUE,R,471,0.021001,2.624669,4,10,6,0.173913,0.145215,1.916667,-1
1,"GREEDY,R,R",33,84,34,1,RED,GREEDY,306,0.012387,3.265986,2,10,8,0.296296,0.397849,7.166667,-1
1,"GREEDY,R,R",34,85,35,1,RED,GREEDY,111,0.0057,3.265986,2,10,8,0.296296,0.481481,10.75,-1
1,"GREEDY,R,R",35,86,36,1,BLUE,R,508,0.017187,2.494438,4,10,6,0.2,0.219512,2.588235,-1
1,"GREEDY,R,R",36,87,37,1,RED,GREEDY,131,0.007409,3.091206,3,10,7,0.212121,0.400844,11.555556,-1
1,"GREEDY,R,R",37,88,38,1,ORANGE,R,376,0.014881,3.299832,2,10,8,0.313725,0.300813,5.111111,-1
1,"GREEDY,R,R",38,89,39,1,ORANGE,R,633,0.029267,2.054805,5,10,5,0.151515,0.14876,2.173913,-1
1,"GREEDY,R,R",39,90,40,1,BLUE,R,385,0.017393,2.494438,4,10,6,0.181818,0.146667,1.916667,-1
1,"GREEDY,R,R",40,91,41,1,BLUE,R,289,0.022586,2.828427,4,10,6,0.222222,0.209524,2.941176,-1
1,"GREEDY,R,R",41,92,42,1,ORANGE,R,289,0.014545,2.494438,4,10,6,0.2,0.2589,3.857143,-1
1,"GREEDY,R,R",42,93,43,1,RED,GREEDY,157,0.0086,3.559026,2,10,8,0.355556,0.571429,25.0,-1
1,"GREEDY,R,R",43,94,44,1,RED,GREEDY,146,0.007074,2.160247,5,10,5,0.15873,0.379487,5.352941,-1
1,"GREEDY,R,R",44,95,45,1,RED,GREEDY,141,0.007767,3.559026,2,10,8,0.355556,0.404199,8.0,-1
1,"GREEDY,R,R",45,96,46,1,ORANGE,R,219,0.009717,3.771236,2,10,8,0.380952,0.218391,3.714286,-1
1,"GREEDY,R,R",46,97,47,1,BLUE,R,322,0.011128,3.771236,2,10,8,0.380952,0.298851,9.666667,-1
1,"GREEDY,R,R",47,98,48,1,BLUE,R,371,0.012897,3.559026,3,11,8,0.296296,0.337553,5.0,-1
1,"GREEDY,R,R",48,99,49,1,RED,GREEDY,115,0.005826,3.299832,2,10,8,0.313725,0.435262,7.076923,-1
1,"GREEDY,R,R",49,100,50,1,ORANGE,R,257,0.011072,2.44949,4,10,6,0.190476,0.110236,1.724138,-1
2,"MCTS,R,R",0,101,1,1,RED,MCTS,517,12.132106,0.942809,8,10,2,0.051282,0.324786,4.166667,-1
2,"MCTS,R,R",1,102,2,1,BLUE,R,171,2.877061,3.559026,2,10,8,0.355556,0.404372,19.5,-1
2,"MCTS,R,R",2,103,3,1,ORANGE,R,188,7.518105,3.265986,2,10,8,0.296296,0.203704,2.466667,-1
2,"MCTS,R,R",3,104,4,1,ORANGE,R,444,14.724663,2.94392,3,10,7,0.259259,0.222222,3.2,-1
2,"MCTS,R,R",4,105,5,1,BLUE,R,281,7.333415,3.299832,2,10,8,0.313725,0.482993,36.5,-1
2,"MCTS,R,R",5,106,6,1,RED,MCTS,506,13.367728,2.94392,3,10,7,0.222222,0.324561,6.285714,-1
2,"MCTS,R,R",6,107,7,1,BLUE,R,349,7.974193,3.559026,2,10,8,0.253968,0.285714,3.4,-1
2,"MCTS,R,R",7,108,8,1,RED,MCTS,514,17.44664,3.299832,2,10,8,0.313725,0.422764,6.2,-1
2,"MCTS,R,R",8,109,9,1,ORANGE,R,263,9.116477,3.399346,2,10,8,0.333333,0.262626,5.333333,-1
2,"MCTS,R,R",9,110,10,1,ORANGE,R,205,3.458299,3.399346,2,10,8,0.333333,0.243902,2.764706,-1
2,"MCTS,R,R",10,111,11,1,BLUE,R,265,6.611671,2.867442,3,10,7,0.245614,0.175,2.5,-1
2,"MCTS,R,R",11,112,12,1,RED,MCTS,279,9.846487,2.160247,5,10,5,0.15873,0.341463,5.666667,-1
2,"MCTS,R,R",12,113,13,1,BLUE,R,253,8.151786,2.054805,5,10,5,0.151515,0.040404,1.2,-1
2,"MCTS,R,R",13,114,14,1,BLUE,R,399,6.765219,3.265986,2,10,8,0.296296,0.253968,4.2,-1
2,"MCTS,R,R",14,115,15,1,ORANGE,R,773,24.662887,2.867442,3,10,7,0.233333,0.25,3.666667,-1
2,"MCTS,R,R",15,116,16,1,ORANGE,R,347,7.42639,0.942809,8,10,2,0.051282,0.161765,2.0,-1
2,"MCTS,R,R",16,117,17,1,RED,MCTS,192,3.749106,3.091206,3,10,7,0.27451,0.321285,4.076923,-1
2,"MCTS,R,R",17,118,18,1,BLUE,R,195,7.41891,1.247219,7,10,3,0.08,0.092593,1.535714,-1
2,"MCTS,R,R",18,119,19,1,RED,MCTS,212,6.036963,2.828427,4,10,6,0.222222,0.291667,3.333333,-1
2,"MCTS,R,R",19,120,20,1,RED,MCTS,266,4.451375,3.559026,2,10,8,0.253968,0.270833,4.545455,-1
2,"MCTS,R,R",20,121,21,1,BLUE,R,611,11.585862,2.160247,5,10,5,0.138889,0.162602,2.25,-1
2,"MCTS,R,R",21,122,22,1,ORANGE,R,260,7.941873,1.699673,6,10,4,0.115942,0.151815,2.095238,-1
2,"MCTS,R,R",22,123,23,1,ORANGE,R,213,4.376161,3.399346,2,10,8,0.266667,0.190476,2.6,-1
2,"MCTS,R,R",23,124,24,1,RED,MCTS,408,9.302788,3.299832,4,11,7,0.245614,0.319249,3.833333,-1
2,"MCTS,R,R",24,125,25,1,RED,MCTS,284,8.326938,3.559026,2,10,8,0.253968,0.341085,12.0,-1
2,"MCTS,R,R",25,126,26,1,RED,MCTS,188,7.408282,4.027682,2,11,9,0.375,0.308642,3.777778,-1
2,"MCTS,R,R",26,127,27,1,BLUE,R,188,5.150803,3.399346,2,10,8,0.333333,0.154762,2.083333,-1
2,"MCTS,R,R",27,128,28,1,BLUE,R,426,12.460656,3.559026,2,10,8,0.355556,0.111111,1.666667,-1
2,"MCTS,R,R",28,129,29,1,RED,MCTS,170,4.18299,3.771236,2,10,8,0.380952,0.151515,2.25,-1
2,"MCTS,R,R",29,130,30,1,RED,MCTS,456,12.92901,3.299832,2,10,8,0.280702,0.328502,4.4,-1
2,"MCTS,R,R",30,131,31,1,RED,MCTS,316,7.449075,3.559026,3,11,8,0.296296,0.203704,2.692308,-1
2,"MCTS,R,R",31,132,32,1,RED,MCTS,157,4.181398,3.299832,2,10,8,0.280702,0.288066,5.375,-1
2,"MCTS,R,R",32,133,33,1,RED,MCTS,536,8.905492,2.160247,5,10,5,0.138889,0.282609,4.545455,-1
2,"MCTS,R,R",33,134,34,1,ORANGE,R,325,5.658608,2.624669,4,10,6,0.173913,0.283688,4.636364,-1
2,"MCTS,R,R",34,135,35,1,ORANGE,R,442,7.531471,2.867442,3,10,7,0.233333,0.291667,6.833333,-1
2,"MCTS,R,R",35,136,36,1,BLUE,R,247,6.179584,3.399346,2,10,8,0.266667,0.237548,3.818182,-1
2,"MCTS,R,R",36,137,37,1,RED,MCTS,206,8.404745,2.054805,5,10,5,0.151515,0.081761,1.481481,-1
2,"MCTS,R,R",37,138,38,1,RED,MCTS,234,6.579255,3.399346,2,10,8,0.333333,0.374429,6.125,-1
2,"MCTS,R,R",38,139,39,1,RED,MCTS,382,12.607328,2.94392,3,10,7,0.259259,0.204444,2.352941,-1
2,"MCTS,R,R",39,140,40,1,RED,MCTS,305,10.146049,2.94392,3,10,7,0.259259,0.382353,5.333333,-1
2,"MCTS,R,R",40,141,41,1,RED,MCTS,123,3.730846,4.242641,2,11,9,0.4,0.401961,6.857143,-1
2,"MCTS,R,R",41,142,42,1,RED,MCTS,155,5.517367,3.399346,2,10,8,0.333333,0.177778,2.428571,-1
