lineup,n_games,avg_turns,avg_duration_s,avg_vp_std,avg_vp_gini,avg_vp_range
"CONVEX,GREEDY,R,R",300,331.1533333333333,0.63564294,2.82101268,0.26431387333333334,7.15
"MCTS,AB,R,R",300,81.86333333333333,3.260662046666667,3.31104133,0.3529700633333333,8.003333333333334
"VALUE,WR,R,R",300,91.42666666666666,0.07955159333333334,3.24897476,0.3424683766666667,7.92
