agent,n_rows,win_rate,win_rate_ci_low,win_rate_ci_high,avg_final_vp,avg_final_vp_ci_low,avg_final_vp_ci_high,avg_rank,avg_turns,avg_decide_ms,avg_vp_minus_table_mean,avg_game_vp_gini,longest_road_rate,largest_army_rate,avg_roads_built,avg_settlements_built,avg_cities_built
WR,600,0.33666666666666667,0.3,0.37666666666666665,6.458333333333333,6.218291666666667,6.705,2.1016666666666666,260.3333333333333,0.0035164733333333336,0.7041666666666667,0.26205393,0.22666666666666666,0.42333333333333334,9.913333333333334,2.433333333333333,0.6966666666666667
R,600,0.29333333333333333,0.25833333333333336,0.3283333333333333,6.088333333333333,5.83,6.326708333333333,2.165,330.8566666666667,0.00034157,0.38333333333333336,0.26643072333333334,0.23333333333333334,0.36666666666666664,10.956666666666667,2.3966666666666665,0.6316666666666667
GREEDY,600,0.20333333333333334,0.17,0.23333333333333334,5.3116666666666665,5.086625000000001,5.538333333333333,2.48,295.595,0.0027853766666666663,-0.41791666666666666,0.2642423266666667,0.25833333333333336,0.0,9.38,1.5283333333333333,1.6333333333333333
CONVEX,600,0.16166666666666665,0.13333333333333333,0.19,5.06,4.856625,5.27,2.525,295.595,3.7221264333333335,-0.6695833333333333,0.2642423266666667,0.2683333333333333,0.0,9.33,1.6566666666666667,1.4333333333333333
