lineup,agent,n,win_rate,avg_final_vp,avg_rank,avg_turns,avg_game_vp_gini
"CONVEX,GREEDY,R,R",R,600,0.29333333333333333,6.088333333333333,2.165,330.8566666666667,0.26643072333333334
"CONVEX,GREEDY,R,R",GREEDY,300,0.20666666666666667,5.343333333333334,2.453333333333333,330.8566666666667,0.26643072333333334
"CONVEX,GREEDY,R,R",CONVEX,300,0.19666666666666666,5.3,2.4566666666666666,330.8566666666667,0.26643072333333334
"CONVEX,GREEDY,WR,WR",WR,600,0.33666666666666667,6.458333333333333,2.1016666666666666,260.3333333333333,0.26205393
"CONVEX,GREEDY,WR,WR",GREEDY,300,0.2,5.28,2.506666666666667,260.3333333333333,0.26205393
"CONVEX,GREEDY,WR,WR",CONVEX,300,0.12666666666666668,4.82,2.5933333333333333,260.3333333333333,0.26205393
