agent_i,CONVEX,GREEDY,R,WR
CONVEX,,-0.25166666666666665,-0.7883333333333333,-1.6383333333333334
GREEDY,0.25166666666666665,,-0.745,-1.1783333333333332
R,0.7883333333333333,0.745,0.0,
WR,1.6383333333333334,1.1783333333333332,,0.0
