method,lambda,n,gini_mean,gini_ci_low,gini_ci_high,max_min_ratio_mean,max_min_ratio_ci_low,max_min_ratio_ci_high,total_expected_production_mean,total_expected_production_ci_low,total_expected_production_ci_high,mean_entropy_mean,mean_entropy_ci_low,mean_entropy_ci_high
GREEDY,0.0,200,0.06045227377267385,0.05811680186991953,0.06290513236354099,1.3169321923346693,1.302682709084431,1.3313377961950328,1.8577777777777778,1.8463888888888889,1.8684722222222223,1.2099604583015215,1.1939453952077639,1.2258633870028577
GREEDY,0.08333333333333333,200,0.06045227377267385,0.05807418032458719,0.06276408259177661,1.3169321923346693,1.3023556454080836,1.3311321074243094,1.8577777777777778,1.8468055555555554,1.8694444444444442,1.2099604583015215,1.193047555142957,1.2264949832246044
GREEDY,0.16666666666666666,200,0.06045227377267385,0.058052243597784096,0.06284805145639905,1.3169321923346693,1.30308842186795,1.3321277768005129,1.8577777777777778,1.8469409722222223,1.8697222222222223,1.2099604583015215,1.1937281442857506,1.2264076730180582
GREEDY,0.25,200,0.06045227377267385,0.05815907245032718,0.06276812239919366,1.3169321923346693,1.3030754368094926,1.3310798983867866,1.8577777777777778,1.8468055555555554,1.8695868055555553,1.2099604583015215,1.1940275795466349,1.2261179118402252
GREEDY,0.3333333333333333,200,0.06045227377267385,0.05805949788355614,0.06281595856457696,1.3169321923346693,1.3024920591083327,1.3307195291035072,1.8577777777777778,1.84625,1.8684722222222223,1.2099604583015215,1.193913473284149,1.2257143118705442
GREEDY,0.41666666666666663,200,0.06045227377267385,0.05802766571850735,0.06276362886624982,1.3169321923346693,1.3025640755464865,1.3311039409184728,1.8577777777777778,1.846798611111111,1.8697256944444445,1.2099604583015215,1.1942229875442538,1.2259122708571368
GREEDY,0.5,200,0.06045227377267385,0.05805280898018888,0.06284101818018832,1.3169321923346693,1.3027184389505404,1.331063681373666,1.8577777777777778,1.8469444444444445,1.8694444444444445,1.2099604583015215,1.1935897710410188,1.2257966782689673
GREEDY,0.5833333333333333,200,0.06045227377267385,0.05810010516073497,0.06293588672101351,1.3169321923346693,1.3023026382801923,1.330524427490294,1.8577777777777778,1.8463888888888889,1.8686111111111112,1.2099604583015215,1.1938664791626867,1.2261512547112687
GREEDY,0.6666666666666666,200,0.06045227377267385,0.05801108838905018,0.06272136498380225,1.3169321923346693,1.3027946772847896,1.3318001059075941,1.8577777777777778,1.8455555555555554,1.8691666666666666,1.2099604583015215,1.1936409924244697,1.226006845947299
GREEDY,0.75,200,0.06045227377267385,0.0578826623397718,0.06285326928487461,1.3169321923346693,1.3029758634833517,1.3309767212706456,1.8577777777777778,1.84625,1.8686111111111112,1.2099604583015215,1.1940853634282256,1.225018464389326
GREEDY,0.8333333333333333,200,0.06045227377267385,0.058081166401627186,0.06278151845370505,1.3169321923346693,1.3023385807991459,1.331504219020144,1.8577777777777778,1.8469444444444443,1.868753472222222,1.2099604583015215,1.1932900367929087,1.2258899990739802
GREEDY,0.9166666666666666,200,0.06045227377267385,0.05803333836521685,0.06289481596935287,1.3169321923346693,1.3028560241401184,1.3309558666887809,1.8577777777777778,1.8477777777777777,1.86903125,1.2099604583015215,1.1936507204329025,1.22660201182973
GREEDY,1.0,200,0.06045227377267385,0.058062863867574595,0.06287273914763297,1.3169321923346693,1.3027242021330063,1.3315250082648689,1.8577777777777778,1.8463854166666664,1.8690277777777777,1.2099604583015215,1.1932167320186677,1.2258097264739305
GREEDY,1.0833333333333333,200,0.06045227377267385,0.05807875834961637,0.06275207159639888,1.3169321923346693,1.3031972723698728,1.3312537354136231,1.8577777777777778,1.8465277777777778,1.868753472222222,1.2099604583015215,1.1940350181321535,1.2265210233685209
GREEDY,1.1666666666666665,200,0.06045227377267385,0.05815419420842154,0.0628998177702908,1.3169321923346693,1.3021237728903363,1.3310908322499655,1.8577777777777778,1.8463888888888889,1.8690277777777777,1.2099604583015215,1.1936982168158576,1.2259987088545676
GREEDY,1.25,200,0.06045227377267385,0.05816021627952217,0.06282627782829235,1.3169321923346693,1.3027898328988694,1.3315110084703738,1.8577777777777778,1.8466666666666667,1.8695833333333332,1.2099604583015215,1.1928923183351618,1.2253676071468231
GREEDY,1.3333333333333333,200,0.06045227377267385,0.05795667435530157,0.06290328902469937,1.3169321923346693,1.3031418170816973,1.3309651061142163,1.8577777777777778,1.846663194444444,1.8698611111111108,1.2099604583015215,1.1936756213406383,1.2258405314075025
GREEDY,1.4166666666666665,200,0.06045227377267385,0.058101761121653446,0.06277875598373939,1.3169321923346693,1.3023402039523944,1.3307940148667123,1.8577777777777778,1.846940972222222,1.868753472222222,1.2099604583015215,1.1930400507407894,1.226003823868316
GREEDY,1.5,200,0.06045227377267385,0.05807003829364862,0.06276834528543403,1.3169321923346693,1.3037498658913327,1.331348907138613,1.8577777777777778,1.8465277777777778,1.8698611111111108,1.2099604583015215,1.1941881876872484,1.2251132749345808
