lambda,selfish_agent,game_idx,seed,vp_gini,vp_min,vp_max,vp_range,winner_agent,num_turns
0.666667,VALUE,2,3,0.380952,2,10,8,R,113
0.666667,VALUE,3,4,0.355556,2,10,8,VALUE,60
0.666667,VALUE,4,5,0.355556,2,10,8,CONVEX,76
0.666667,WR,0,1,0.333333,2,10,8,R,152
0.666667,WR,1,2,0.313725,2,10,8,WR,327
0.666667,WR,2,3,0.259259,3,10,7,CONVEX,103
0.666667,WR,3,4,0.266667,2,10,8,R,263
0.666667,WR,4,5,0.333333,2,10,8,R,302
0.888889,GREEDY,0,1,0.08,7,10,3,CONVEX,160
0.888889,GREEDY,1,2,0.313725,2,10,8,GREEDY,552
0.888889,GREEDY,2,3,0.333333,2,10,8,GREEDY,357
0.888889,GREEDY,3,4,0.380952,2,10,8,R,167
0.888889,GREEDY,4,5,0.222222,4,10,6,R,254
0.888889,AB,0,1,0.27451,3,10,7,R,77
0.888889,AB,1,2,0.313725,2,10,8,R,86
0.888889,AB,2,3,0.4,2,11,9,R,68
0.888889,AB,3,4,0.380952,2,10,8,AB,81
0.888889,AB,4,5,0.355556,2,10,8,CONVEX,97
0.888889,MCTS,0,1,0.333333,2,10,8,R,152
0.888889,MCTS,1,2,0.253968,2,10,8,R,629
0.888889,MCTS,2,3,0.190476,4,10,6,MCTS,369
0.888889,MCTS,3,4,0.222222,4,10,6,R,311
0.888889,MCTS,4,5,0.210526,4,10,6,CONVEX,700
0.888889,VALUE,0,1,0.355556,2,10,8,R,68
0.888889,VALUE,1,2,0.333333,2,10,8,R,101
0.888889,VALUE,2,3,0.380952,2,10,8,R,113
0.888889,VALUE,3,4,0.355556,2,10,8,VALUE,60
0.888889,VALUE,4,5,0.355556,2,10,8,CONVEX,58
0.888889,WR,0,1,0.181818,4,10,6,R,320
